PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.06,26.12,28.81,34.3,33.64,31.64,26.88,25.8,25.82,24.66,21.5,21.35,26.79
T2M,1982,23.52,27.33,31.1,33.47,34.37,31.41,27.82,26.2,25.9,25.19,23.23,22.19,27.64
T2M,1983,23.15,27.05,31,34.65,36.09,32.73,27.68,26.37,26.05,24.15,20.01,20.86,27.48
T2M,1984,23.91,26.06,30.89,34.42,37.59,30.51,26.7,26.06,26.4,25.54,22.94,24.23,27.94
T2M,1985,25.02,26.88,31.7,34.19,36.55,29.1,26.37,26.12,26.29,24.04,22.47,22.49,27.6
T2M,1986,22.04,25.83,31.18,34.6,36.37,31.07,27.44,26.08,26.8,26.51,24.76,23.85,28.05
T2M,1987,23.21,25.47,29.68,34.27,34.63,32.77,27.73,27,27.96,26.15,24.22,21.95,27.92
T2M,1988,24.6,27.6,31.01,33.33,37.54,31.92,26.97,26.51,26.23,24.13,21.94,22.4,27.84
T2M,1989,23.08,26.41,28.85,34.37,36.94,30.07,26.9,25.69,25.87,25.08,23.2,21.44,27.32
T2M,1990,23.67,27.12,30.26,34.52,31.65,27.84,26.9,26.47,25.94,24.58,23.08,21.88,26.98
T2M,1991,23.44,27.43,32.12,34.9,37.72,29.96,26.8,25.67,26.47,24.9,22.58,21.51,27.79
T2M,1992,22.26,25.86,31.34,34.64,36.73,32.23,27.94,25.73,25.53,25.48,24.15,21.62,27.79
T2M,1993,23.8,25.32,29.52,34.48,37.26,31.91,27.23,26.4,26.23,25.56,22.49,20.43,27.55
T2M,1994,23.94,26.18,31.79,33.92,36.68,30.77,26.55,26.02,25.41,24.9,22.51,20.26,27.41
T2M,1995,19.9,24.92,30.47,33.78,32.67,32.19,26.77,26.68,26.19,24.78,21.62,21.24,26.76
T2M,1996,23.51,25.69,31.33,32.88,36.45,32.05,27.67,26.39,26.29,24.37,22.47,21.51,27.55
T2M,1997,21.12,24.55,30.93,31,34.62,31.49,27.65,26.39,26.37,26.37,25.64,24.03,27.52
T2M,1998,24.9,25.23,30.75,34.77,37.55,32.59,28.01,26.98,26.41,25.48,22.5,19.63,27.91
T2M,1999,21.34,27.23,31.32,34.58,33.62,29.33,27.8,26.3,26.05,25.57,23.22,21.4,27.3
T2M,2000,23.7,25.86,28.94,35.58,34.2,28.9,27.25,26.69,26.44,26.74,24.85,22.56,27.64
T2M,2001,23.7,26.93,30.87,32.39,36.65,29.12,28.58,26.18,27.14,25.43,24.56,22,27.8
T2M,2002,22.55,26.81,31.1,35.34,36.61,30.5,28.78,26.14,26.44,26.12,24.3,23.99,28.23
T2M,2003,24.11,28.12,30.62,34.77,36.66,32.39,27,26.1,26.12,24.99,22.37,20.76,27.82
