PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.3,26.34,28.88,33.35,32.73,30.84,27.15,26.21,26.08,24.84,21.98,21.19,26.82
T2M,1982,22.92,27.26,30.65,32.48,33.33,30.56,27.56,26.54,26.12,25.19,23.43,22.09,27.33
T2M,1983,23.35,27.62,30.91,33.57,34.96,31.51,27.76,26.73,26.17,24.87,20.98,21.23,27.47
T2M,1984,23.84,26.4,30.44,33.3,36.35,30.34,26.95,26.65,26.79,25.48,23.33,24.49,27.87
T2M,1985,24.12,27.37,30.48,34.12,35.45,28.45,26.58,26.45,26.26,24.02,22.33,22.62,27.35
T2M,1986,22.46,25.87,30.65,33.09,35.76,30.64,27.94,26.77,27.1,26.56,24.22,23.52,27.89
T2M,1987,23.98,25.45,29.04,33.58,33.98,32.05,28.02,27.23,27.74,25.67,23.94,22.11,27.73
T2M,1988,23.42,27.04,30.86,32.05,36.16,31.98,26.95,26.55,26.1,24.39,21.89,22.24,27.47
T2M,1989,23.06,26.42,29.23,33.85,35.57,29.66,27.25,26.05,25.82,25.15,22.63,21.62,27.19
T2M,1990,23.84,27.03,29.92,33.71,30.61,27.87,27.33,26.89,26.36,24.9,23.65,22.46,27.04
T2M,1991,24.33,27.33,31.16,33.96,36.17,29.31,27.16,26.24,26.74,24.94,21.94,20.71,27.5
T2M,1992,21.15,26.1,30.4,33.44,35.68,31.59,27.84,26,25.86,25.29,23.58,20.43,27.27
T2M,1993,23.22,25.55,30.37,33.3,36.28,31.38,27.58,26.92,26.28,25.58,22.63,20.78,27.5
T2M,1994,23.71,26.42,31.14,33.55,35.63,30.6,27.13,26.55,26.08,25.08,22.47,19.83,27.35
T2M,1995,20.55,25.1,29.98,33.11,30.66,30.98,27.02,26.8,26.37,25.33,22.3,20.97,26.59
T2M,1996,23.04,25.53,30.42,32.44,35.51,30.25,27.45,26.63,26.51,24.98,22.38,21.3,27.2
T2M,1997,21.44,24.91,30.44,31.07,34.66,31.66,27.95,26.89,26.55,25.68,25.08,23.56,27.5
T2M,1998,24.19,26.54,31.29,33.87,36.69,31.84,28.37,27.1,26.55,25.55,23.01,19.35,27.86
T2M,1999,20.69,26,31.05,33.92,32.4,29.37,28.05,26.9,26.76,25.99,23.83,22.17,27.26
T2M,2000,24.41,26.77,29.12,34.39,33.35,28.06,27.28,26.56,26.44,25.72,23.86,22.46,27.36
T2M,2001,24.12,26.97,30.67,31.23,35.57,29.15,28.77,26.47,27.03,25.51,24.15,21.62,27.61
T2M,2002,23.1,26.65,30.64,33.85,36.01,30.17,29.3,26.78,27.3,26.05,24.01,23.28,28.1
T2M,2003,24.14,27.8,30.2,33.48,36.23,32.33,27.22,26.53,26.48,25.51,22.51,20.78,27.76
T2M,2004,21.58,24.37,30.37,33.15,31.93,30.61,27.32,27.46,26.88,25.35,23.4,22,27.03
T2M,2005,24.42,26.87,30.37,33.08,34.62,31.55,27.26,26.48,26.22,25.26,20.37,19.98,27.2
T2M,2006,21.23,25.16,28.99,32.54,32.01,29.71,28.76,26.31,26.3,25.61,23.12,20.98,26.73
T2M,2007,21.96,24.94,30.08,32.96,35.85,29.79,27.74,26.79,26.33,23.7,21.69,22.05,27
T2M,2008,22.45,25.45,28.22,31.1,35.47,29.63,28.39,26.39,26.13,25.05,22.9,22.76,27
T2M,2009,23.37,27.64,30.64,33.75,33.75,30.57,28.64,27.65,27.16,25.74,24.19,22.74,27.98
T2M,2010,23.46,27.44,31.81,34.36,34.59,31.21,27.16,26.83,26.05,25.37,24.26,20.07,27.7
T2M,2011,20.26,24.36,29.22,31.92,34.79,30.83,28.37,27.27,27.07,27.17,25.09,24.18,27.56
T2M,2012,24.02,26.78,30.18,33.21,35.09,31.48,27.68,26.76,26.56,24.89,22.87,22.48,27.66
T2M,2013,23.96,25.72,29.57,32.48,35.3,28.58,26.98,26.44,26.35,25.24,22.63,19.9,26.93
T2M,2014,21.97,24.26,28.63,33.57,32.98,33.58,29.48,28.21,26.95,26.64,23.98,22.73,27.76
T2M,2015,22.66,25.88,29.68,32.08,35.15,29.26,29.76,28.4,27.73,27.97,25.99,24.98,28.31
T2M,2016,24.26,27.88,30.69,33.96,34.11,29.25,27.3,27.44,26.1,24.3,22.12,21.74,27.42
T2M,2017,23.05,26.54,30.02,34.38,34,29.14,27.69,26.55,26.71,25.69,22.83,20.76,27.27
T2M,2018,21.94,25.94,30.54,32.94,33.42,30.03,27.82,26.72,26.57,26.19,25.65,23.14,27.58
T2M,2019,22.04,26.37,30.82,33.29,35.33,31.99,29.33,27.19,26.67,25.83,23.29,22.41,27.88
T2M,2020,23.62,26,29.94,33.12,35,29.37,27.27,26.49,26.53,25.32,23,20.59,27.19
T2M,2021,22.51,24.15,29.59,32.34,32.73,28.85,27.21,27.08,26.68,25.61,24.11,21.3,26.86
RH2M,1981,64,45.81,50.31,43.25,50.94,61.56,80.81,84.19,87.62,83.25,77.56,73.81,67.12
RH2M,1982,68.62,52.5,44.75,44.06,46.5,60.69,76.5,81.69,83.56,82.62,82.81,71,66.38
RH2M,1983,58.06,51.25,39.5,42.19,42.5,56.25,76.12,84.56,87.75,85.12,78.94,73.12,64.69
RH2M,1984,67.31,54.38,40.69,41.81,35,59,78.81,78.94,77,74.12,60.56,52.62,60.06
RH2M,1985,66.62,47.38,41.94,38.81,35.12,71.31,78.69,82.38,80.62,78.06,68.56,63.56,62.88
RH2M,1986,60.75,58.94,44.25,44.06,34.62,59.81,71.62,80.12,77.75,70.06,68.44,62.62,61.06
RH2M,1987,58.75,47.88,47.44,37.88,41.06,54.38,71.62,80.06,77,82.38,77.5,70.12,62.31
RH2M,1988,65.31,54,42.19,49.81,37.69,54.38,82.75,86.81,89.25,79.31,68.38,65.44,64.62
RH2M,1989,57.5,37.44,45.88,32.88,37.06,60.69,80.75,85.12,86.75,78.81,72.12,64.94,61.88
RH2M,1990,44.12,51.88,50.56,39.88,64,76.44,76.19,81.75,84.56,84.81,80.31,70.44,67.19
RH2M,1991,57.31,45.44,43.62,39.31,38.94,72.06,80.12,83.38,81.94,81.62,83.19,74.06,65.19
RH2M,1992,62.81,50.19,35.12,38.06,36.38,57.06,74.56,85,83.06,78.56,81.12,72.38,62.88
RH2M,1993,56.38,44.81,40.25,40.88,35.88,55.62,75.44,80.19,83.69,83.69,75.81,64.19,61.5
RH2M,1994,61.88,52.12,40.31,40.44,38.12,60.5,77.69,82.31,80.75,86.62,83.69,72.75,64.88
