PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,20.49,25.65,28.23,33.37,33.03,30.13,25.89,24.74,24.7,23.62,20.36,20.01,25.84
T2M,1982,22.87,26.3,29.87,32.01,32.44,29.49,26.36,25.26,24.87,24.06,22.77,22.23,26.54
T2M,1983,23.02,26,29.87,33.6,35.44,31.43,26.82,25.25,24.95,23.12,19.26,20.54,26.61
T2M,1984,23.37,25.31,29.92,33.91,36.34,29.26,25.64,25.05,25.31,24.62,22.07,23.67,27.05
T2M,1985,25.15,25.9,30.78,33.18,35.75,27.78,25.58,25.24,25.87,23.28,22.4,22.76,26.98
T2M,1986,21.73,25.6,30.91,33.73,34.92,28.79,26.18,25,25.64,26.2,24.51,23.46,27.23
T2M,1987,22.88,25.19,28.97,33.31,32.76,31.22,26.35,25.79,26.59,24.96,22.9,20.44,26.77
T2M,1988,23.83,26.83,29.87,32.86,36.24,30.35,26.24,25.54,25.32,23.24,20.86,21.16,26.86
T2M,1989,22.78,25.48,27.93,33.12,35.75,28.57,25.83,24.57,24.85,24.36,23.04,21.25,26.46
T2M,1990,23.37,25.92,29.08,33.36,30.67,26.58,25.77,25.22,24.98,23.56,22.24,21.33,26
T2M,1991,23.23,26.76,31.5,33.92,36.54,28.94,25.62,24.77,25.6,24.45,22.4,21.17,27.07
T2M,1992,22.06,24.76,30.34,33.8,35.33,30.59,26.85,24.9,24.43,24.44,23.05,20.64,26.76
T2M,1993,23.14,24.4,28.36,33.4,35.68,30.61,26.06,25.32,25.02,24.4,21.31,19.37,26.43
T2M,1994,23.19,25.51,31.05,32.31,35.34,29.06,25.58,25.02,24.42,23.88,21.3,19.36,26.33
T2M,1995,19.26,24.59,29.8,32.87,32.54,31.23,25.82,25.62,25.27,23.76,20.74,20.43,25.99
T2M,1996,22.85,25.42,30.46,32,34.83,31.01,26.67,25.18,25.21,23.33,21.12,20.15,26.51
T2M,1997,20.33,23.73,29.83,29.94,33.31,30.08,26.64,25.65,25.32,25.37,24.68,23.36,26.53
T2M,1998,24.11,24.69,29.93,34.62,36.37,31.3,27.18,26,25.19,24.28,21.5,18.48,26.98
T2M,1999,20.51,26.37,30.46,33.87,32.51,28.19,26.74,25.29,25.04,24.5,22.51,20.8,26.39
