PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.3,25.88,28.37,33.61,32.74,30.62,26.62,25.55,25.51,24.28,21.13,20.74,26.35
T2M,1982,22.52,26.91,30.63,32.49,33.19,30.34,27.21,25.98,25.61,24.79,22.96,21.77,27.03
T2M,1983,22.71,26.92,30.64,33.94,35.24,31.94,27.54,26.14,25.76,24.05,19.98,20.81,27.13
T2M,1984,23.45,25.8,30.4,33.59,36.86,29.84,26.29,25.87,26.01,25.15,22.62,23.99,27.49
T2M,1985,24.49,26.82,30.97,33.75,35.7,28.05,25.95,25.87,25.87,23.75,22.15,22.24,27.13
T2M,1986,21.94,25.43,30.6,33.5,35.76,30.3,27.15,25.95,26.56,26.2,24.25,23.41,27.6
T2M,1987,23.23,24.99,28.89,33.54,33.85,31.93,27.33,26.73,27.54,25.72,23.75,21.58,27.42
T2M,1988,23.49,26.94,30.46,32.35,36.6,31.39,26.8,26.15,25.8,23.8,21.45,21.77,27.25
T2M,1989,22.65,26.15,28.44,33.89,36.19,29.37,26.65,25.39,25.46,24.73,22.62,20.97,26.87
T2M,1990,23.39,26.76,29.7,33.9,30.86,27.4,26.73,26.26,25.69,24.37,22.94,21.62,26.62
T2M,1991,23.23,27.02,31.43,34.09,36.9,29.33,26.62,25.52,26.16,24.52,22.07,20.98,27.32
T2M,1992,21.76,25.75,30.8,33.78,35.84,31.33,27.55,25.45,25.23,25.08,23.6,20.75,27.24
T2M,1993,23.3,25.1,29.56,33.59,36.58,31.38,27.1,26.19,25.87,25.23,22.33,20.27,27.22
T2M,1994,23.43,25.9,31.27,33.18,35.87,30.24,26.65,25.93,25.37,24.58,22.02,19.73,27.01
T2M,1995,19.9,24.65,29.81,32.96,31.57,31.37,26.5,26.29,25.83,24.53,21.4,20.59,26.28
T2M,1996,22.57,25.08,30.64,32.14,35.55,30.93,27.4,26.14,26,24.15,21.98,21.03,26.97
T2M,1997,20.74,24.12,30.37,30.55,34.01,31.22,27.62,26.3,26.12,25.81,25.22,23.64,27.15
T2M,1998,24.33,25.54,30.72,34.06,36.71,32,28.01,26.7,26.09,25.12,22.23,19.21,27.57
T2M,1999,20.73,26.33,31.03,33.9,32.56,28.99,27.66,26.24,26.06,25.62,23.15,21.46,26.98
T2M,2000,23.69,25.94,28.62,34.83,33.22,28,26.88,26.29,26.01,25.9,23.99,22.58,27.15
T2M,2001,23.51,26.62,30.17,31.88,35.98,28.59,28.22,25.93,26.69,25.03,24.1,21.62,27.37
T2M,2002,22.71,26.34,30.48,34.51,35.64,30.05,28.61,26.06,26.51,25.83,23.85,23.45,27.83
T2M,2003,23.91,27.52,30.1,33.73,35.97,31.98,26.82,25.9,25.94,24.86,22.07,20.55,27.44
T2M,2004,21.4,23.56,30.33,32.84,32.21,30.85,26.83,26.82,26.57,25.19,23.53,21.96,26.84
T2M,2005,23.54,26.05,29.83,33.01,35.08,31.76,26.69,25.94,25.8,24.55,19.55,19.09,26.73
T2M,2006,20.77,25.32,28.6,32.62,32.14,29.77,28.07,25.88,25.83,25.02,22.48,21.12,26.47
T2M,2007,22.05,25.43,30.03,33.16,35.79,29.84,27.8,26.47,25.9,23,21.55,22.05,26.93
T2M,2008,22.41,24.83,28.26,31.07,35.16,29.46,28.12,25.94,25.6,24.44,22.63,22.36,26.69
T2M,2009,23.18,27.51,30.43,33.67,34.83,30.95,28.03,27.36,26.69,25.18,23.55,22.05,27.78
T2M,2010,22.24,27.12,31.87,34.92,35.29,31.73,26.62,26.23,25.51,24.72,23.76,19.37,27.44
T2M,2011,19.69,24.09,29.3,32.01,35.21,30.73,27.64,26.65,26.33,26.51,24.55,23.13,27.16
T2M,2012,23.88,26.32,29.41,33.71,36.06,30.94,27.16,26.34,25.98,24.38,22.92,22.65,27.48
T2M,2013,23.94,25.48,29.64,32.55,35.66,28.05,26.33,25.68,25.9,24.6,21.69,19.21,26.57
T2M,2014,21.56,24.01,27.77,33.4,33.22,33.06,28.62,27.89,26.15,26.31,24.21,22.39,27.39
T2M,2015,21.42,25.55,29,31.5,35.26,29.8,29.51,28.16,27.7,28.03,26.37,25.05,28.12
T2M,2016,23.61,27.83,30.75,34.55,34.38,29.83,26.95,27,25.62,23.62,21.15,20.68,27.15
T2M,2017,22.13,26.05,29.48,34.26,34.97,29.19,27.53,26.3,26.46,25.23,22.62,20.75,27.08
T2M,2018,21.62,25.65,30.28,33.04,34.25,29.77,27.22,26.29,26.05,25.87,25.16,22.1,27.27
T2M,2019,21.54,25.81,30.63,33.55,36.07,32.49,28.65,26.5,26.21,25.09,22.33,20.93,27.48
T2M,2020,21.92,24.38,29.33,33.09,35.11,28.8,26.95,26.12,26.15,24.8,21.96,19.99,26.55
T2M,2021,22.05,23.54,29.28,32.61,33.21,28.15,26.77,26.43,26.1,24.8,23.32,20.58,26.41
RH2M,1981,59.06,36.94,45.44,33.31,46.06,60.44,80.56,84.94,87.75,82.94,75.56,69.81,63.81
RH2M,1982,66.25,45.94,35.12,36.5,43.38,59.12,75.44,81.56,83.31,81.44,81.06,67.62,63.19
RH2M,1983,51.06,40.44,28.88,31.56,34.94,51.5,74.94,84.56,87.12,84.75,75.69,68.44,59.62
RH2M,1984,63.25,48,31,33.75,26.56,59.62,80.12,80.56,78.44,72.06,56.06,43.25,56.06
RH2M,1985,58.75,35,31.31,32.62,30.38,71.12,79.69,82.56,79.25,74.81,64.31,56.88,58.19
RH2M,1986,55.75,56.12,36.44,36.38,27.62,59.62,73.88,81.25,78.44,66.56,63.5,56.25,57.62
RH2M,1987,54.5,40.56,40,30.44,35.69,53.38,72.88,80.19,74.38,76.25,72.38,62.19,57.88
RH2M,1988,57.25,46.12,33.25,43.44,29.69,54.62,81,86.12,88.44,77.56,65.19,57.94,60.12
RH2M,1989,45.81,24.25,41.06,24.19,29.94,60,80.69,85.31,85.56,75.62,67.56,60.81,56.94
RH2M,1990,36.5,39.56,39.75,29.94,58.69,75.62,76.75,82.38,85.12,84.12,79.31,70.5,63.31
RH2M,1991,52.75,34.69,34.38,32.44,30.94,69,80.38,84.12,81.06,77.88,75.69,65.62,60.06
RH2M,1992,50.44,33.94,23.25,29.06,30.25,56.12,73.5,85.12,82.5,74.94,73.94,65.19,56.62
RH2M,1993,42.44,32.75,34.19,32.44,28.38,53.06,75.5,81.38,83.25,82.56,69.12,56.31,56.12
RH2M,1994,55.19,43.81,30.75,34.88,32.19,59.88,77.19,82.25,81.06,85,80.5,65.25,60.75
RH2M,1995,65.12,53.19,42.69,36.12,47.81,55.12,81.31,84.25,84.06,86.88,78.81,72.44,65.75
RH2M,1996,63.12,52.75,29.25,41.69,25.5,55.69,74.88,82.94,84.62,83.75,72,59.94,60.5
RH2M,1997,60.69,33.69,28.88,46.06,35.12,53.62,74.12,79.88,83.44,73.31,75.75,73.75,60
RH2M,1998,57.81,51.31,36.56,34.25,30.44,54.12,74.5,85.44,86.56,86.12,81,64.31,61.94
RH2M,1999,55.25,45.69,23.31,25.5,47.56,62.75,71.38,80.12,81.5,76.69,59.25,47.75,56.5
RH2M,2000,37.31,53.56,31.81,29.38,43.75,71.38,77.38,82.12,83,71.38,60.5,31.56,56.06
RH2M,2001,40.38,28.56,40.31,44.81,31.44,65.81,68,82.88,80.06,80.25,68.94,51.69,57.06
RH2M,2002,54.81,43.88,34.06,32.56,35.44,64.19,68.25,82.31,77.56,71,52.44,47.12,55.38
RH2M,2003,44.31,47.19,38.12,35.25,24.12,51.75,80.31,85.44,85.31,83.56,73.94,65.88,59.69
RH2M,2004,64.56,50.56,34.31,39.5,50.06,55.12,78.19,77.94,80.25,75.81,62.5,51.62,60.12
RH2M,2005,51.94,45.56,36.75,39.69,33.88,55.31,81.19,85.62,87.56,86.06,76.62,70.56,62.69
RH2M,2006,57.19,42.38,47.44,40.5,52.44,62.75,70.62,83.94,85.56,79.69,80.19,71.19,64.62
RH2M,2007,59,46.88,35.69,37,32,66,74.44,81.44,87.25,79.94,68.19,63.69,61.06
RH2M,2008,46.19,51.31,46.88,45.56,26.94,61.25,70.38,84.81,85.31,78.75,74.56,62.12,61.19
RH2M,2009,55.25,35,29.5,30.69,37.06,57.88,70.62,77.31,83.38,72.69,72.25,63,57.19
RH2M,2010,49.56,42.5,31.25,32.06,37.5,56,82.75,85.88,87.81,86.19,86.25,77.88,63.12
RH2M,2011,64.5,59.25,36.88,41,32.12,56.44,74.62,80.56,81.12,69.25,55.31,42.62,57.81
RH2M,2012,47.19,32.88,23.31,36,29.44,54.75,75.69,81.44,84.56,78.12,73.62,60.62,56.56
RH2M,2013,50.5,49.12,35.19,40.12,34.69,72.38,80.62,85.19,84.88,85.62,81.94,74.06,64.62
RH2M,2014,68.38,51.75,50.56,31.25,44,46.06,67.31,72.44,79.12,67.12,57.12,47.75,57
RH2M,2015,48.12,39.56,41.69,42.5,33.31,62.69,63.31,71.69,73.19,59.88,57.19,47.38,53.44
RH2M,2016,40.25,42.38,39.12,31.62,40.38,64.56,79.06,78.38,85.5,79.56,68.06,57.81,58.94
RH2M,2017,45.06,31.56,35.38,25.12,37.38,68.75,75.06,82.19,84,81.56,73.56,57.81,58.31
RH2M,2018,38.44,35.81,29.19,39.19,42.12,63.56,75.44,80.94,80.31,66.88,56.75,55.94,55.5
RH2M,2019,47.44,44.5,34.69,36.31,31.62,51.69,68.62,83.19,86.06,86.88,83.06,78.69,61.19
RH2M,2020,68.19,54.44,45.5,37.62,36.12,71.31,82.81,88.06,88.5,87.06,84.31,75.31,68.31
RH2M,2021,72.5,49.62,31.25,35.81,45.81,73.69,83.69,85,87,84.56,85.19,76.12,67.62
WS10M,1981,2.98,2.88,3.45,3.35,3.94,5.6,4.46,4.84,2.98,2.26,2.4,2.53,3.48
WS10M,1982,3.34,3.12,3.25,3.62,3.45,4.96,4.96,5.09,2.93,2.26,2.57,2.76,3.53
WS10M,1983,2.87,3.54,3.38,3.88,4.07,5.11,4.45,4.66,3.39,3.09,2.89,2.5,3.65
WS10M,1984,3.52,3.44,2.84,4.09,4.02,5.63,4.41,5.02,2.88,2.66,2.73,2.45,3.64
