T2M,RH2M,WS10M,WS50M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,WS50M_MAX,WS50M_MIN,PS
21.3,59.06,2.98,4.53,34.51,9.99,6.71,0.25,9.69,0.08,97.94
25.88,36.94,2.88,4.39,39.21,11.69,6.28,0.42,9.48,0.42,97.74
28.37,45.44,3.45,5.03,39.15,17.32,6.69,0.23,9.56,0.16,97.59
33.61,33.31,3.35,4.69,45.03,22.02,7.05,0.07,9.74,0.05,97.2
32.74,46.06,3.94,5.43,43.79,23.12,10.29,0.05,12.51,0.03,96.94
30.62,60.44,5.6,7.49,42.86,22.63,11.41,0.25,14.19,0.24,96.67
26.62,80.56,4.46,6.51,32.99,20.76,9.98,1.12,12.62,1.25,96.84
25.55,84.94,4.84,7.06,31.7,19.26,10.83,0.41,13.91,0.48,96.83
25.51,87.75,2.98,4.54,30.55,21.23,7.86,0.14,10.06,0.29,97.09
24.28,82.94,2.26,3.52,30.19,16.16,4.86,0.28,7.06,0.17,97.56
21.13,75.56,2.4,3.71,30.32,10.53,5.66,0.27,8.55,0.44,97.74
20.74,69.81,2.53,3.85,28.64,10.33,6.59,0.09,10.37,0.16,98.05
22.52,66.25,3.34,5.09,31.89,13.65,6.79,0.34,9.31,0.53,97.92
26.91,45.94,3.12,4.59,38.48,16.2,7.16,0.19,10.46,0.14,97.64
30.63,35.12,3.25,4.59,42.45,19.35,7.66,0.05,9.74,0.11,97.45
32.49,36.5,3.62,4.95,43.98,22.17,8.09,0.19,10.75,0.09,97.25
33.19,43.38,3.45,4.68,42.32,23.61,8.73,0.24,10.91,0.33,97.14
30.34,59.12,4.96,6.64,42.26,22.48,10.64,0.45,12.94,0.44,96.75
27.21,75.44,4.96,7.04,37.89,21.84,9.88,0.11,13.04,0.23,96.8
25.98,81.56,5.09,7.44,31.68,21.65,8.92,1.44,11.45,2.39,96.86
25.61,83.31,2.93,4.44,32.3,19.55,8.55,0.15,10.72,0.09,97.2
24.79,81.44,2.26,3.31,30.91,19.3,7.31,0.09,9.11,0.13,97.65
22.96,81.06,2.57,3.88,29.52,16.03,7.37,0.16,9.12,0.33,97.8
21.77,67.62,2.76,4.29,31.53,12.1,6.53,0.12,8.57,0.16,98.0
22.71,51.06,2.87,4.33,34.67,10.68,6.75,0.38,9.43,0.16,97.98
26.92,40.44,3.54,5.13,38.31,12.86,8.07,0.09,9.82,0.12,97.64
30.64,28.88,3.38,4.89,42.67,17.18,7.48,0.12,10.36,0.2,97.47
33.94,31.56,3.88,5.23,44.85,22.87,9.29,0.11,11.68,0.19,97.23
35.24,34.94,4.07,5.34,44.94,25.61,10.05,0.22,12.24,0.36,97.0
31.94,51.5,5.11,6.76,45.16,22.73,11.24,0.27,13.88,0.55,96.74
27.54,74.94,4.45,6.4,34.98,22.58,10.38,0.52,13.15,0.85,96.82
26.14,84.56,4.66,6.78,31.6,21.65,11.73,0.86,15.13,1.27,96.8
25.76,87.12,3.39,5.13,31.03,21.98,7.37,0.23,9.07,0.27,96.97
24.05,84.75,3.09,4.68,30.41,14.76,9.72,0.33,12.48,0.28,97.36
19.98,75.69,2.89,4.53,28.53,11.01,5.7,0.33,8.23,0.45,97.93
20.81,68.44,2.5,3.83,29.93,7.75,5.82,0.22,8.59,0.19,97.93
23.45,63.25,3.52,5.2,32.77,12.83,7.48,0.47,9.89,0.88,97.71
25.8,48.0,3.44,4.92,36.0,15.96,7.78,0.18,10.18,0.23,97.63
30.4,31.0,2.84,4.14,41.83,17.0,6.74,0.07,9.52,0.15,97.47
33.59,33.75,4.09,5.5,44.09,23.69,9.66,0.17,12.06,0.05,97.11
36.86,26.56,4.02,5.38,46.92,25.76,9.52,0.16,11.77,0.23,96.73
29.84,59.62,5.63,7.52,43.64,21.69,10.49,0.27,12.93,0.34,96.63
26.29,80.12,4.41,6.3,34.58,21.97,9.3,0.46,11.99,0.67,96.75
25.87,80.56,5.02,7.34,31.98,21.27,9.58,0.1,12.12,0.16,96.86
26.01,78.44,2.88,4.22,33.58,20.3,7.77,0.09,9.84,0.13,97.22
25.15,72.06,2.66,4.19,32.35,15.73,6.8,0.18,8.7,0.31,97.47
22.62,56.06,2.73,4.17,32.54,11.65,6.23,0.11,8.52,0.16,97.86
23.99,43.25,2.45,3.66,35.2,12.62,6.88,0.06,9.45,0.05,97.69
24.49,58.75,3.67,5.29,34.61,15.67,7.33,0.68,9.27,1.22,97.81
26.82,35.0,2.94,4.3,39.25,14.38,8.0,0.34,10.52,0.18,97.3
30.97,31.31,3.48,5.04,42.53,16.95,7.27,0.18,10.63,0.28,97.38
33.75,32.62,3.28,4.65,44.96,20.64,8.17,0.12,10.18,0.16,97.03
35.7,30.38,4.84,6.33,45.12,25.9,11.27,0.45,13.51,0.6,96.74
28.05,71.12,5.45,7.42,36.11,23.09,10.76,0.45,13.44,0.36,96.75
25.95,79.69,4.34,6.23,33.75,21.62,10.23,0.54,12.7,0.62,96.91
25.87,82.56,4.08,6.01,31.65,21.66,9.34,0.12,11.84,0.17,96.86
25.87,79.25,3.15,4.82,32.5,20.75,8.08,0.1,10.13,0.14,97.14
23.75,74.81,2.9,4.39,31.73,14.95,7.09,0.2,9.1,0.29,97.45
22.15,64.31,2.79,4.38,31.9,12.4,5.75,0.14,8.42,0.17,97.78
22.24,56.88,2.66,4.19,33.33,11.94,5.62,0.38,8.05,0.45,97.9
21.94,55.75,3.09,4.59,31.99,12.77,7.16,0.39,9.38,0.5,97.89
25.43,56.12,3.84,5.59,36.04,16.55,7.87,0.59,9.91,0.94,97.69
30.6,36.44,3.78,5.29,42.9,18.34,7.48,0.23,10.17,0.35,97.43
33.5,36.38,4.41,5.96,44.68,22.12,9.2,0.38,11.78,0.45,97.18
35.76,27.62,3.97,5.27,44.88,24.9,11.17,0.16,13.5,0.1,96.86
30.3,59.62,5.42,7.06,44.08,22.55,10.68,0.14,12.85,0.1,96.68
27.15,73.88,5.31,7.33,34.23,22.09,11.12,0.52,14.23,0.85,96.86
25.95,81.25,4.88,6.93,31.9,21.55,12.8,0.02,17.39,0.12,96.87
26.56,78.44,2.32,3.48,33.58,21.26,6.96,0.08,8.98,0.12,97.22
26.2,66.56,2.64,4.21,35.55,15.92,6.23,0.21,7.73,0.36,97.55
24.25,63.5,2.49,3.9,34.76,13.59,5.88,0.41,7.39,0.41,97.74
23.41,56.25,3.27,4.8,32.76,12.23,7.43,0.1,9.17,0.11,97.97
23.23,54.5,3.05,4.54,33.76,10.57,6.87,0.56,9.38,0.48,97.98
24.99,40.56,3.5,5.16,37.13,13.61,7.18,0.98,10.1,0.99,97.88
28.89,40.0,3.07,4.52,40.98,17.88,6.48,0.14,9.13,0.22,97.53
