Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIRMAL,NIRMAL,NIRMAL,NIRMAL-TOWN2,NIRMAL (T),3,INDUSTRIAL,129,111,82797.0,2527.93
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,TIMMAREDDIPET,3,INDUSTRIAL,4,4,1408.0,16.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,3,INDUSTRIAL,88,59,26866.0,1899.81
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANGAMIPALLI,3,INDUSTRIAL,4,3,554.0,34.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LAXMAPOOR,3,INDUSTRIAL,1,0,0.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MATOOR,3,INDUSTRIAL,1,0,0.0,3.0
NIRMAL,NIRMAL,NIRMAL,SOAN,SOAN,3,INDUSTRIAL,7,4,3040.0,328.5
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,PEDDA REDDY,3,INDUSTRIAL,7,2,4166.0,118.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,CHITYAL,3,INDUSTRIAL,2,0,0.0,15.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,KONDAPUR,3,INDUSTRIAL,8,4,2692.0,426.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,KOUTLA(K),3,INDUSTRIAL,4,1,0.0,259.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,MANJULAPUR,3,INDUSTRIAL,8,7,2898.0,138.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,MEDIPALLY,3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,VELLUTLA,3,INDUSTRIAL,5,2,1072.0,36.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAGAVAPALLI,3,INDUSTRIAL,2,0,0.0,5.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,AALOOR,3,INDUSTRIAL,2,0,0.0,25.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,BEERVELLY,3,INDUSTRIAL,7,5,976.0,142.5
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MAL THUMMEDA,3,INDUSTRIAL,8,5,11307.0,275.5
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,NAGIREDDIPET,3,INDUSTRIAL,18,12,2847.0,315.43
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,JAAM,3,INDUSTRIAL,2,2,757.0,12.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KANKATI,3,INDUSTRIAL,1,1,41.0,10.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KOUTLA(B),3,INDUSTRIAL,3,1,66.0,88.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ADVILINGAL,3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BHIKNOOR,3,INDUSTRIAL,1,0,0.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,JANKAMPALLY(J),3,INDUSTRIAL,3,3,200.0,60.9
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SARANGAPUR,3,INDUSTRIAL,17,9,1812.0,309.5
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SWARNA,3,INDUSTRIAL,2,1,190.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LINGAREDDIPET,3,INDUSTRIAL,9,6,1388.0,63.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MATHMAL,3,INDUSTRIAL,3,3,4015.0,60.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAMAKKAPALLI,3,INDUSTRIAL,3,2,330.0,42.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,WADALPARTHI,3,INDUSTRIAL,2,1,737.0,15.0
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,L3,3,INDUSTRIAL,13,13,4061.0,170.0
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,M1,3,INDUSTRIAL,24,20,19689.0,693.57
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,L7,3,INDUSTRIAL,9,8,4441.0,128.8
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,M2,3,INDUSTRIAL,76,24,14449.0,1486.65
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,GANDHIMASANIPET,3,INDUSTRIAL,5,2,60.0,41.0
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,AREPALLI,3,INDUSTRIAL,46,35,207116.0,2149.77
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,ENUMAMULA,3,INDUSTRIAL,1,1,5351.0,49.0
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,KOTHAPET,3,INDUSTRIAL,5,0,0.0,99.0
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,PAIDEPALLI,3,INDUSTRIAL,33,18,23372.0,1126.55
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,3,INDUSTRIAL,2,2,2758.0,28.98
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,DESAIPET,3,INDUSTRIAL,5,5,8893.0,156.0
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,L B NAGAR,3,INDUSTRIAL,84,44,42292.0,2735.523
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,BONDIVAGU,3,INDUSTRIAL,3,3,2208.0,80.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,GOLI LINGAL,3,INDUSTRIAL,1,1,40.0,2.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SATHOLI,3,INDUSTRIAL,1,1,0.0,2.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,KANNAREDDI,3,INDUSTRIAL,2,0,0.0,50.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DASNAPUR,3,INDUSTRIAL,1,0,0.0,10.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DEVAPOOR,3,INDUSTRIAL,1,0,0.0,7.66
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DHANNURA (B),3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MEESANPALLI,3,INDUSTRIAL,2,1,428.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,TANDOOR,3,INDUSTRIAL,5,1,8.0,132.3
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,MATWADA,3,INDUSTRIAL,99,48,36011.0,1799.173
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,THIMMAPOOR,3,INDUSTRIAL,2,2,55.0,9.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,HAJIPOOR,3,INDUSTRIAL,3,2,10.0,20.0
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,GUDIHATHNOOR,3,INDUSTRIAL,18,13,3745.0,331.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MASANPALLI (M),3,INDUSTRIAL,1,1,1408.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,POCHARAM,3,INDUSTRIAL,2,0,0.0,20.0
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MALSOOR THANDA,3,INDUSTRIAL,1,1,45.0,12.0
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MITTAPALLY,3,INDUSTRIAL,4,4,1536.0,68.5
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MUDDUNURU,3,INDUSTRIAL,1,1,737.0,30.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ANNASAGAR,3,INDUSTRIAL,3,1,4338.0,72.5
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BRAHAMANPALLI,3,INDUSTRIAL,1,1,462.0,2.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,REPALLEWADA,3,INDUSTRIAL,2,2,0.0,125.0
