Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,GANGIPALLY,3,INDUSTRIAL,15,8,1693.0,200.2
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,DESHARAJPALLY,3,INDUSTRIAL,17,8,3283.0,634.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,GUDELUGULA PALLY,3,INDUSTRIAL,1,1,41.0,5.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,GUNDI,3,INDUSTRIAL,7,7,1433.0,207.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,GUNDIGOPALRAOPET,3,INDUSTRIAL,43,29,5260.0,501.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,IPPLAGADDA H/O.GUNDI,3,INDUSTRIAL,1,0,0.0,2.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,KOKKARAKUNTA,3,INDUSTRIAL,12,11,2719.0,285.0
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,GOPALAPURAM,3,INDUSTRIAL,14,7,495.0,208.5
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,KHANAPURAM,3,INDUSTRIAL,18,6,8103.0,313.58
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,KOTHAGUDEM,3,INDUSTRIAL,5,4,10736.0,223.0
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,KOTHURU,3,INDUSTRIAL,4,0,0.0,35.495
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,PUTTAKOTA,3,INDUSTRIAL,1,0,0.0,2.0
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,TEKULAPALLI,3,INDUSTRIAL,35,16,11829.0,427.21
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,V. VENKATAYA PALEM,3,INDUSTRIAL,12,5,1162.0,477.5
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,VELUGUMATLA,3,INDUSTRIAL,54,27,88772.0,3068.34
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,KAME PALLI,3,INDUSTRIAL,7,3,2282.0,178.79
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,KAPTAN BANJER-KAM,3,INDUSTRIAL,2,0,0.0,25.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,KOTHA LINGALA-KAM,3,INDUSTRIAL,5,3,1397.0,70.18
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,MADDULA PALLY-KAM,3,INDUSTRIAL,2,1,3498.0,108.0
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,CHIMMAPUDI,3,INDUSTRIAL,5,4,2591.0,107.0
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,DONABANDA,3,INDUSTRIAL,1,1,1681.0,10.0
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,EARLAPUDI,3,INDUSTRIAL,1,0,0.0,10.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,CHOWTAPALLY,3,INDUSTRIAL,2,1,141.0,69.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,ESWARAMADHARAM,3,INDUSTRIAL,1,0,0.0,10.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,GAIGOLLAPALLY,3,INDUSTRIAL,2,2,1119.0,35.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,JAKKEPALLY,3,INDUSTRIAL,5,3,503.0,68.33
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,JUJJLARAOPETA,3,INDUSTRIAL,2,2,696.0,48.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,TANGAMPADU,3,INDUSTRIAL,2,2,698.0,15.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,VALYATHANDA,3,INDUSTRIAL,1,1,576.0,5.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,DAMMAIGUDEM,3,INDUSTRIAL,5,4,1054.0,144.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,GOLL THANDA,3,INDUSTRIAL,2,2,1240.0,84.0
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,NEERMALA,3,INDUSTRIAL,5,2,172.0,52.0
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,PEDDAMADUR,3,INDUSTRIAL,11,5,1008.0,96.5
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,RAMACHANDRAPOOR,3,INDUSTRIAL,1,0,0.0,4.0
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,RAMBHOJIGUDEM,3,INDUSTRIAL,2,0,0.0,15.0
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,RAMRAJPALLY,3,INDUSTRIAL,8,7,316.0,25.5
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,SINGARAJUPALLI,3,INDUSTRIAL,11,5,1201.0,156.517
JANGAON,JANGAON,JANGAON,BACHANNAPET,ALIMPUR,3,INDUSTRIAL,2,0,0.0,17.5
JANGAON,JANGAON,JANGAON,BACHANNAPET,BACHANNAPET (HQ),3,INDUSTRIAL,39,20,5265.0,731.84
JANGAON,JANGAON,JANGAON,BACHANNAPET,BANDA NAGARAM,3,INDUSTRIAL,2,1,234.0,98.5
JANGAON,JANGAON,RAGHUNATHPALLY,RAGHUNATHPALLY,BHANJIPET,3,INDUSTRIAL,4,2,244.0,54.5
JANGAON,JANGAON,RAGHUNATHPALLY,RAGHUNATHPALLY,GABBETA,3,INDUSTRIAL,4,3,725.0,115.0
JANGAON,JANGAON,RAGHUNATHPALLY,RAGHUNATHPALLY,GOVARDHANAGIRI,3,INDUSTRIAL,5,3,1242.0,131.0
JANGAON,JANGAON,RAGHUNATHPALLY,RAGHUNATHPALLY,KANCHANAPALLI,3,INDUSTRIAL,9,6,1500.0,222.5
JANGAON,JANGAON,RAGHUNATHPALLY,RAGHUNATHPALLY,KODUR,3,INDUSTRIAL,2,1,172.0,12.0
JANGAON,JANGAON,RAGHUNATHPALLY,RAGHUNATHPALLY,KOMALLA,3,INDUSTRIAL,9,6,627.0,57.0
KAMAREDDY,BANSWADA,BICHKUNDA,BICHKUNDA,PULKAL,3,INDUSTRIAL,8,4,346.0,192.0
KAMAREDDY,BANSWADA,BICHKUNDA,BICHKUNDA,RAJULA,3,INDUSTRIAL,2,1,178.0,15.0
KAMAREDDY,BANSWADA,BICHKUNDA,BICHKUNDA,SEETHRAMPALLI,3,INDUSTRIAL,4,2,452.0,99.0
KAMAREDDY,BANSWADA,BICHKUNDA,BICHKUNDA,SHANTHAPOOR,3,INDUSTRIAL,7,2,8079.0,317.0
