Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,KATRIAL,3,INDUSTRIAL,3,3,139.0,25.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,KOTHAPALLI (WEST),3,INDUSTRIAL,5,4,436.0,52.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,LAIBARTHI,3,INDUSTRIAL,11,4,3648.0,225.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,NALLABELLY-I,3,INDUSTRIAL,9,5,1222.0,174.53
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,RAMAVARAM,3,INDUSTRIAL,2,2,4777.0,131.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,UPPARAPALLI,3,INDUSTRIAL,8,4,3015.0,276.62
NIRMAL,NIRMAL,KHANAPUR,KADDAM,KADDAM,3,INDUSTRIAL,12,10,1227.0,86.67
NIRMAL,NIRMAL,KHANAPUR,KADDAM,KALLEDA,3,INDUSTRIAL,1,0,0.0,10.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,KANNAPUR,3,INDUSTRIAL,1,0,0.0,10.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,KONDKUR,3,INDUSTRIAL,4,3,6103.0,176.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,LAKSHMIPUR,3,INDUSTRIAL,2,2,17879.0,121.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,LAKSHMISAGAR,3,INDUSTRIAL,1,0,0.0,0.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,LINGAPUR,3,INDUSTRIAL,9,4,4295.0,197.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,MADDIPADAGA(NEW,3,INDUSTRIAL,1,1,93.0,13.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,YELLAPALLI,3,INDUSTRIAL,4,1,185.0,264.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,AALOOR,3,INDUSTRIAL,2,0,0.0,25.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,BEERVELLY,3,INDUSTRIAL,7,5,5058.0,142.5
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,BOREGOAM(NEW),3,INDUSTRIAL,1,0,0.0,10.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,CHINCHOLI(B),3,INDUSTRIAL,6,4,9048.0,195.5
NIZAMABAD,ARMOOR,MORTHAD,KAMMARPALLY,HOSAKOTHUR,3,INDUSTRIAL,14,5,1236.0,150.8
NIZAMABAD,ARMOOR,MORTHAD,KAMMARPALLY,KAMMARPALLY,3,INDUSTRIAL,42,23,5130.0,552.538
NIZAMABAD,ARMOOR,MORTHAD,KAMMARPALLY,NAGAPUR,3,INDUSTRIAL,1,0,0.0,5.0
NIZAMABAD,ARMOOR,MORTHAD,KAMMARPALLY,UPLOOR,3,INDUSTRIAL,9,4,810.0,119.94
NIZAMABAD,ARMOOR,MORTHAD,MORTHAD,DONKAL,3,INDUSTRIAL,7,4,1215.0,115.923
NIZAMABAD,ARMOOR,MORTHAD,MORTHAD,DONPAL,3,INDUSTRIAL,1,1,7.0,10.0
NIZAMABAD,ARMOOR,MORTHAD,MORTHAD,MORTHAD,3,INDUSTRIAL,37,29,10483.0,637.66
NIZAMABAD,ARMOOR,MORTHAD,MORTHAD,ODYAT,3,INDUSTRIAL,1,1,343.0,13.24
NIZAMABAD,ARMOOR,MORTHAD,MORTHAD,RAMANNAPET,3,INDUSTRIAL,9,6,1066.0,100.0
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,THIRUMALAPUR,3,INDUSTRIAL,4,3,8609.0,154.0
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,AKBARNAGAR,3,INDUSTRIAL,1,1,3973.0,99.0
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,AMBAM,3,INDUSTRIAL,2,1,3836.0,104.0
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,RAIKUR,3,INDUSTRIAL,4,1,272.0,81.96
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,RAIKUR CAMP,3,INDUSTRIAL,3,2,2302.0,120.0
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,RUDRUR,3,INDUSTRIAL,39,24,13870.0,1103.769
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,SULEMANNAGAR,3,INDUSTRIAL,5,3,149.0,85.761
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,ABHANGAPATNAM,3,INDUSTRIAL,3,1,1345.0,57.5
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,FATHE NAGAR,3,INDUSTRIAL,2,2,207.0,9.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,KOSLY,3,INDUSTRIAL,4,2,1161.0,104.6
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,LAXMIKISSAN FORM,3,INDUSTRIAL,1,0,0.0,5.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,NAGAPOOR,3,INDUSTRIAL,1,1,4914.0,57.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,SINGAREDDIPALLY,3,INDUSTRIAL,8,2,534.0,103.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,SUNDILLA,3,INDUSTRIAL,9,4,423.0,36.94
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,UPPALA KESARAM,3,INDUSTRIAL,1,0,0.0,3.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,VENKAT RAO PALLY,3,INDUSTRIAL,5,0,0.0,63.0
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,ADIVISOMENPALLY,3,INDUSTRIAL,1,0,0.0,10.0
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,AKKAPALLY,3,INDUSTRIAL,1,0,0.0,7.5
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,ARENDA,3,INDUSTRIAL,1,0,0.0,10.12
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,BITPALLY,3,INDUSTRIAL,1,1,416.0,15.0
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,CHINNA ODELLA,3,INDUSTRIAL,1,0,0.0,7.5
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,KANAMPALLY  (REC)             ,3,INDUSTRIAL,1,0,0.0,10.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,KHILAVANAPARTHY  (REC)        ,3,INDUSTRIAL,5,4,2215.0,109.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,MYADARAM      ,3,INDUSTRIAL,8,5,2868.0,135.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,NARSIMHULAPALLI,3,INDUSTRIAL,2,2,407.0,8.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,PAIDICHINTHALA PALLY  (REC)   ,3,INDUSTRIAL,2,2,306.0,20.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,RACHAPALLY (A) (REC)          ,3,INDUSTRIAL,3,3,576.0,102.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,KODURPAKA     ,3,INDUSTRIAL,1,1,1099.0,25.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,NARAYANPOOR   ,3,INDUSTRIAL,1,1,1497.0,45.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,POOSALA       ,3,INDUSTRIAL,17,10,7382.0,731.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,SUGLAMPALLY   ,3,INDUSTRIAL,7,6,10874.0,480.5
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,SULTANABAD    ,3,INDUSTRIAL,58,45,14869.0,1168.55
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,AINEPALLI,3,INDUSTRIAL,3,2,1062.0,107.0
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,ASHOK NAGAR,3,INDUSTRIAL,13,7,6939.0,249.5
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,BANZORA PALLY,3,INDUSTRIAL,3,2,5763.0,173.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,BOLLIKONDA,3,INDUSTRIAL,3,0,0.0,25.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,CHANDRRU KONDA,3,INDUSTRIAL,2,2,2846.0,119.5
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,CHINNA KORPOLE,3,INDUSTRIAL,1,0,0.0,15.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,DEEKSHA KUNTA,3,INDUSTRIAL,1,0,0.0,10.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Devuni thanda,3,INDUSTRIAL,1,1,238.0,5.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,GOTLA KONDA,3,INDUSTRIAL,2,1,5466.0,121.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,GUNDRAPALLY,3,INDUSTRIAL,1,0,0.0,10.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,LANKA KASHARAM,3,INDUSTRIAL,1,0,0.0,10.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,MUSTIAL,3,INDUSTRIAL,14,10,6990.0,344.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,NAGEPALLY,3,INDUSTRIAL,13,6,489.0,120.5
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,NARASIMLA PALLY,3,INDUSTRIAL,8,5,399.0,136.33
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,PANNUR,3,INDUSTRIAL,3,2,1461.0,51.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,PEDDAMPET,3,INDUSTRIAL,5,3,18.0,48.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,RAJAPUR,3,INDUSTRIAL,1,0,0.0,5.0
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,RATNAPOOR,3,INDUSTRIAL,21,9,4167.0,423.75
PEDDAPALLY,PEDDAPALLY,DHARMARAM,JULAPALLY,TELUKUNTA     ,3,INDUSTRIAL,5,3,873.0,153.98
PEDDAPALLY,PEDDAPALLY,DHARMARAM,JULAPALLY,VENKATRAOPALLY,3,INDUSTRIAL,6,4,415.0,59.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,JULAPALLY,WADAKAPOOR    ,3,INDUSTRIAL,8,7,726.0,87.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,BOTLA VANAPARTHY  (REC)       ,3,INDUSTRIAL,7,4,16442.0,358.5
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,CHAMANPALLY  (REC)            ,3,INDUSTRIAL,1,0,0.0,13.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,DONGA THURTHY  (REC)          ,3,INDUSTRIAL,7,4,417.0,125.33
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,KATENPALLY,KATNAPALLY    ,3,INDUSTRIAL,20,17,35318.0,1220.5
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,KATENPALLY,NARAYANRAOPALLY H/O KODURPAKA ,3,INDUSTRIAL,1,1,0.0,16.0
