Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,CHALLUR,CHALLUR,3,INDUSTRIAL,13,11,4915.0,361.65
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,CHALLUR,ELBAKA,3,INDUSTRIAL,4,3,535.0,75.67
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,LMD COLONY,3,INDUSTRIAL,1,1,0.0,3.0
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MAHATHMA NAGAR,3,INDUSTRIAL,1,1,189.0,20.0
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MALLAPUR,3,INDUSTRIAL,11,8,18020.0,484.03
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MANNEMPALLY,3,INDUSTRIAL,5,4,342.0,42.0
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,PORANDLA,3,INDUSTRIAL,8,5,4713.0,404.0
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,THIMMAPUR,3,INDUSTRIAL,28,15,3234.0,562.12
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,CHENJERLA,3,INDUSTRIAL,33,29,27379.0,1105.89
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,DEVAMPALLY,3,INDUSTRIAL,7,1,605.0,193.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,BOMMANAPALLY,3,INDUSTRIAL,6,5,6278.0,236.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,GAGIREDDYPALLY,3,INDUSTRIAL,1,1,114.0,5.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,INDURTHY,3,INDUSTRIAL,16,5,1152.0,313.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,KONDAPUR,3,INDUSTRIAL,4,2,15.0,29.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,NAVABPET,3,INDUSTRIAL,19,15,2525.0,175.16
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,OGULAPUR,3,INDUSTRIAL,1,0,0.0,5.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,SUNDARAGIRI,3,INDUSTRIAL,11,9,2502.0,122.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,ULLAMPALLY,3,INDUSTRIAL,3,2,117.0,32.5
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,NUTSULAPOOR,BALAIAHPALLY,3,INDUSTRIAL,1,1,0.0,5.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,TEKULA THANDA-KAM,3,INDUSTRIAL,2,1,488.0,10.0
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,ANANTHASAGAR,3,INDUSTRIAL,1,1,2325.0,49.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,ANASAGARAM,3,INDUSTRIAL,2,2,1251.0,11.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,BUDHARAM,3,INDUSTRIAL,1,1,639.0,21.0
