Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KAMAREDDY,KAMAREDDY,Kamareddy Rural,S S NAGAR,KUPRIYAL,3,INDUSTRIAL,5,3,327.0,40.0
KAMAREDDY,KAMAREDDY,Kamareddy Rural,S S NAGAR,YACHARAM LPT,3,INDUSTRIAL,2,0,0.0,20.0
KHAMMAM,KHAMMAM RURAL,MUDIGONDA,MUDIGONDA,LAXMIPURAM EDV,3,INDUSTRIAL,3,1,0.0,30.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHORAJ,LEKURWADI,3,INDUSTRIAL,1,1,197.0,10.0
ADILABAD,ADILABAD,ADILABAD RURAL,THALAMADUGU,KAJJARLA,3,INDUSTRIAL,4,3,4824.0,70.0
ADILABAD,ADILABAD,ADILABAD RURAL,THALAMADUGU,RUYYADI,3,INDUSTRIAL,4,2,619.0,51.0
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,KOTHAGUDEM,3,INDUSTRIAL,6,5,15616.0,221.0
KHAMMAM,KHAMMAM,KOTHALINGALA,RAGUNADAPALEM,VEPAKUNTLA,3,INDUSTRIAL,5,4,165.0,118.0
KHAMMAM,KHAMMAM,Khammam R/East,CHINTHAKANI,NERADA,3,INDUSTRIAL,2,2,0.0,166.0
KHAMMAM,KHAMMAM,Khammam R/East,KONIJERLA,RATHNAPURAM,3,INDUSTRIAL,1,0,0.0,10.0
KHAMMAM,SATHUPALLY,SATHUPALLY,VEMSOOR,YERRAGATTA,3,INDUSTRIAL,5,4,17828.0,107.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,RAMAKRISHNAPURAM,3,INDUSTRIAL,1,1,131.0,10.0
KHAMMAM,SATHUPALLY,PENUBALLY,PEDDA KORUKONDI,PEDA KORUKONDI,3,INDUSTRIAL,3,3,2487.0,119.0
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,ENKOOR,3,INDUSTRIAL,19,14,6043.0,327.5
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,NARAYANAPURAM-B,3,INDUSTRIAL,6,4,751.0,85.0
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,NARSAPUR(W),3,INDUSTRIAL,3,1,36.0,64.0
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),SOMARAM,3,INDUSTRIAL,10,3,50.0,141.0
KHAMMAM,KHAMMAM,KHAMMAM(T),KHAMMAM TOWN-1,ZONE (3)  KHAMMAM,3,INDUSTRIAL,1,1,929.0,15.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Town,KRN TOWN 8,D CIRCLE,3,INDUSTRIAL,2,2,1978.0,15.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,NARAYANAPURAM-A,3,INDUSTRIAL,4,4,1835.0,62.0
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,TIMMARAO PET-EK,3,INDUSTRIAL,4,2,2096.0,88.0
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,RAMANUJAVARAM,3,INDUSTRIAL,2,2,1006.0,51.0
MAHABUBABAD,THORRUR,THORRUR,PEDDA VANGARA,RAMACHANDRATHAN,3,INDUSTRIAL,1,0,0.0,10.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,NAIMNAGAR,LASHKAR SINGARAM,3,INDUSTRIAL,1,1,0.0,7.52
MAHABUBABAD,THORRUR,MARIPEDA,MARIPEDA,ERJERLA,3,INDUSTRIAL,2,1,399.0,40.0
MAHABUBABAD,THORRUR,MARIPEDA,YELLAMPET,RAMPUR,3,INDUSTRIAL,6,2,903.0,80.0
