Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,ARMOOR,BHEEMGAL,SIRIKONDA,SIRIKONDA,3,INDUSTRIAL,18,13,12558.0,337.4
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,SULEMANNAGAR,3,INDUSTRIAL,5,2,251.0,85.761
NIZAMABAD,BODHAN,RUDRUR,VARNI,HUMNAPOOR,3,INDUSTRIAL,2,1,0.0,86.41
NIZAMABAD,BODHAN,RUDRUR,VARNI,JAKORA,3,INDUSTRIAL,2,1,748.0,96.58
NIZAMABAD,BODHAN,RUDRUR,VARNI,JALALPUR,3,INDUSTRIAL,4,2,60.0,76.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,NEHURUNAGAR,3,INDUSTRIAL,1,1,82.0,36.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,PYADMALR,3,INDUSTRIAL,2,1,119.0,15.0
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,KAMTA,3,INDUSTRIAL,1,0,0.0,10.0
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,KHUDAVANPOOR,3,INDUSTRIAL,1,1,79.0,13.33
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,LEKKAMPALLI,3,INDUSTRIAL,2,0,0.0,47.0
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,NANDIPET,3,INDUSTRIAL,46,37,26705.0,971.566
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,TALVEDA,3,INDUSTRIAL,3,2,758.0,115.0
NIZAMABAD,NIZAMABAD,NANDIPET,NANDIPET,UMMEDA,3,INDUSTRIAL,1,0,0.0,10.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 2,SHUBASHNAGAR,N10,3,INDUSTRIAL,3,3,4042.0,112.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 2,SHUBASHNAGAR,N4,3,INDUSTRIAL,11,8,3677.0,362.5
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 2,SHUBASHNAGAR,N5,3,INDUSTRIAL,7,7,2518.0,307.85
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,ARYA NAGAR,3,INDUSTRIAL,6,4,1271.0,73.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,BORGAON (P),3,INDUSTRIAL,27,21,23250.0,679.43
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,L8,3,INDUSTRIAL,5,3,270.0,58.5
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,MADHAVA NAGAR,3,INDUSTRIAL,8,5,2784.0,115.0
