Population,Mean_1,Mean_2,Mean_3,Mean_4,Variance_1,Variance_2,Variance_3,Variance_4,Skewness_1,Skewness_2,Skewness_3,Skewness_4,AQI
1.30E+05,10.848,6.7859,8831.2,271.95,1000,442.69,7.00E+08,8.16E+05,7.8995,8.8697,3.4706,6.864,76
1.30E+05,10.842,6.7367,8853.9,272.14,994.2,433.32,7.17E+08,8.15E+05,7.8764,8.8707,3.6495,6.8584,75
1.31E+05,10.836,6.6891,8875.8,272.31,988.5,424.2,7.34E+08,8.13E+05,7.8541,8.8716,3.8238,6.8524,73
1.31E+05,10.829,6.6432,8896.9,272.49,982.92,415.33,7.50E+08,8.12E+05,7.8329,8.8722,3.9936,6.8461,72
1.31E+05,10.822,6.5989,8917.4,272.65,977.46,406.71,7.65E+08,8.11E+05,7.8125,8.8728,4.1589,6.8394,72
1.32E+05,10.815,6.5562,8937.1,272.82,972.11,398.34,7.80E+08,8.10E+05,7.793,8.8732,4.3196,6.8325,71
1.32E+05,10.809,6.5152,8956.1,272.97,966.89,390.23,7.95E+08,8.09E+05,7.7745,8.8735,4.4758,6.8252,71
1.32E+05,10.802,6.4758,8974.3,273.12,961.78,382.36,8.09E+08,8.08E+05,7.7569,8.8736,4.6274,6.8176,71
1.33E+05,10.795,6.438,8991.9,273.26,956.79,374.74,8.23E+08,8.07E+05,7.7401,8.8736,4.7744,6.8097,71
1.33E+05,10.788,6.4018,9008.7,273.4,951.92,367.37,8.36E+08,8.05E+05,7.7243,8.8734,4.9168,6.8015,72
1.33E+05,10.78,6.3671,9024.8,273.53,947.17,360.25,8.49E+08,8.04E+05,7.7094,8.8731,5.0547,6.793,72
1.34E+05,10.773,6.3341,9040.2,273.65,942.54,353.38,8.61E+08,8.03E+05,7.6953,8.8726,5.188,6.7843,72
1.34E+05,10.766,6.3026,9054.8,273.76,938.02,346.76,8.73E+08,8.02E+05,7.682,8.8719,5.3168,6.7752,72
1.34E+05,10.759,6.2726,9068.8,273.87,933.62,340.39,8.84E+08,8.00E+05,7.6696,8.871,5.441,6.766,72
1.34E+05,10.751,6.2442,9082,273.97,929.34,334.26,8.95E+08,7.99E+05,7.658,8.8699,5.5608,6.7564,71
1.35E+05,10.743,6.2173,9094.6,274.06,925.16,328.37,9.05E+08,7.98E+05,7.6472,8.8685,5.6761,6.7466,71
1.35E+05,10.736,6.1918,9106.4,274.15,921.09,322.73,9.15E+08,7.96E+05,7.6371,8.8668,5.787,6.7366,70
1.35E+05,10.728,6.1679,9117.5,274.23,917.13,317.34,9.24E+08,7.95E+05,7.6278,8.8647,5.8935,6.7264,68
1.35E+05,10.72,6.1454,9127.9,274.3,913.27,312.18,9.33E+08,7.93E+05,7.6191,8.8623,5.9957,6.716,67
1.35E+05,10.712,6.1243,9137.6,274.36,909.52,307.27,9.42E+08,7.92E+05,7.6111,8.8595,6.0936,6.7054,65
1.35E+05,10.704,6.1047,9146.6,274.41,905.87,302.59,9.49E+08,7.90E+05,7.6037,8.8563,6.1872,6.6946,64
1.36E+05,10.696,6.0865,9154.9,274.46,902.31,298.15,9.57E+08,7.89E+05,7.5969,8.8526,6.2768,6.6836,63
1.36E+05,10.687,6.0697,9162.4,274.49,898.84,293.95,9.64E+08,7.87E+05,7.5907,8.8484,6.3622,6.6725,62
1.36E+05,10.679,6.0542,9169.3,274.52,895.47,289.99,9.70E+08,7.86E+05,7.585,8.8436,6.4436,6.6613,61
1.36E+05,10.67,6.0401,9175.5,274.54,892.19,286.26,9.76E+08,7.84E+05,7.5797,8.8382,6.521,6.6499,61
1.36E+05,10.662,6.0274,9181,274.55,888.99,282.76,9.82E+08,7.83E+05,7.575,8.8321,6.5946,6.6384,61
