T2M,RH2M,WS10M,WS50M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,WS50M_MAX,WS50M_MIN,P,POPULATION
26.853,59.233,3.5321,5.0631,36.435,18.304,8.1775,0.20371,10.636,0.25628,97.315,1.30E+05
26.853,59.237,3.5315,5.0623,36.435,18.305,8.1767,0.20365,10.635,0.25623,97.316,1.30E+05
26.854,59.24,3.5308,5.0615,36.435,18.306,8.1759,0.20359,10.634,0.25617,97.316,1.31E+05
26.854,59.244,3.5302,5.0607,36.434,18.307,8.1751,0.20353,10.633,0.25612,97.317,1.31E+05
26.855,59.247,3.5295,5.0599,36.434,18.308,8.1743,0.20348,10.632,0.25606,97.317,1.31E+05
26.855,59.25,3.5289,5.0591,36.434,18.309,8.1736,0.20342,10.631,0.25601,97.318,1.32E+05
26.855,59.254,3.5283,5.0583,36.434,18.31,8.1728,0.20336,10.63,0.25595,97.318,1.32E+05
26.856,59.257,3.5276,5.0575,36.434,18.311,8.172,0.2033,10.629,0.2559,97.319,1.32E+05
26.856,59.26,3.527,5.0567,36.434,18.312,8.1712,0.20325,10.628,0.25585,97.319,1.33E+05
26.856,59.264,3.5264,5.0559,36.434,18.313,8.1704,0.20319,10.627,0.25579,97.32,1.33E+05
26.857,59.267,3.5258,5.0551,36.434,18.315,8.1697,0.20313,10.626,0.25574,97.32,1.33E+05
26.857,59.27,3.5251,5.0543,36.434,18.316,8.1689,0.20307,10.625,0.25569,97.321,1.34E+05
26.857,59.274,3.5245,5.0535,36.433,18.317,8.1681,0.20302,10.624,0.25563,97.322,1.34E+05
26.858,59.277,3.5239,5.0528,36.433,18.318,8.1674,0.20296,10.623,0.25558,97.322,1.34E+05
26.858,59.28,3.5232,5.052,36.433,18.319,8.1666,0.2029,10.622,0.25553,97.323,1.34E+05
26.858,59.283,3.5226,5.0512,36.433,18.32,8.1658,0.20285,10.621,0.25547,97.323,1.35E+05
26.859,59.287,3.522,5.0504,36.433,18.321,8.1651,0.20279,10.62,0.25542,97.323,1.35E+05
26.859,59.29,3.5214,5.0496,36.433,18.322,8.1643,0.20274,10.619,0.25537,97.324,1.35E+05
26.859,59.293,3.5208,5.0488,36.433,18.323,8.1635,0.20268,10.618,0.25532,97.324,1.35E+05
26.859,59.296,3.5201,5.0481,36.433,18.324,8.1628,0.20263,10.618,0.25527,97.325,1.35E+05
26.86,59.3,3.5195,5.0473,36.432,18.325,8.162,0.20257,10.617,0.25522,97.325,1.35E+05
26.86,59.303,3.5189,5.0465,36.432,18.326,8.1612,0.20252,10.616,0.25516,97.326,1.36E+05
26.86,59.306,3.5183,5.0458,36.432,18.327,8.1605,0.20246,10.615,0.25511,97.326,1.36E+05
26.861,59.309,3.5177,5.045,36.432,18.328,8.1597,0.20241,10.614,0.25506,97.327,1.36E+05
26.861,59.312,3.5171,5.0442,36.432,18.329,8.159,0.20235,10.613,0.25501,97.327,1.36E+05
26.861,59.316,3.5164,5.0435,36.432,18.33,8.1582,0.2023,10.612,0.25496,97.328,1.36E+05
26.862,59.319,3.5158,5.0427,36.432,18.331,8.1575,0.20225,10.611,0.25491,97.328,1.36E+05
26.862,59.322,3.5152,5.0419,36.432,18.332,8.1567,0.20219,10.61,0.25486,97.329,1.37E+05
26.862,59.325,3.5146,5.0412,36.431,18.333,8.1559,0.20214,10.609,0.25481,97.329,1.37E+05
26.863,59.328,3.514,5.0404,36.431,18.334,8.1552,0.20209,10.608,0.25476,97.33,1.37E+05
26.863,59.331,3.5134,5.0396,36.431,18.335,8.1544,0.20203,10.607,0.25471,97.33,1.37E+05
26.863,59.334,3.5128,5.0389,36.431,18.336,8.1537,0.20198,10.606,0.25466,97.331,1.37E+05
26.864,59.337,3.5122,5.0381,36.431,18.337,8.1529,0.20193,10.605,0.25462,97.331,1.37E+05
26.864,59.34,3.5116,5.0374,36.431,18.338,8.1522,0.20188,10.604,0.25457,97.332,1.38E+05
26.864,59.343,3.511,5.0366,36.431,18.339,8.1515,0.20182,10.603,0.25452,97.332,1.38E+05
26.864,59.347,3.5104,5.0359,36.431,18.34,8.1507,0.20177,10.602,0.25447,97.332,1.38E+05
26.865,59.35,3.5098,5.0351,36.43,18.341,8.15,0.20172,10.601,0.25442,97.333,1.38E+05
26.865,59.353,3.5092,5.0344,36.43,18.342,8.1492,0.20167,10.6,0.25437,97.333,1.38E+05
26.865,59.356,3.5086,5.0336,36.43,18.343,8.1485,0.20162,10.599,0.25433,97.334,1.38E+05
26.866,59.359,3.508,5.0329,36.43,18.344,8.1477,0.20157,10.598,0.25428,97.334,1.39E+05
26.866,59.362,3.5074,5.0322,36.43,18.345,8.147,0.20152,10.597,0.25423,97.335,1.39E+05
26.866,59.365,3.5068,5.0314,36.43,18.346,8.1463,0.20146,10.596,0.25418,97.335,1.39E+05
26.866,59.368,3.5062,5.0307,36.43,18.347,8.1455,0.20141,10.595,0.25414,97.335,1.39E+05
26.867,59.371,3.5056,5.0299,36.429,18.348,8.1448,0.20136,10.594,0.25409,97.336,1.39E+05
26.867,59.373,3.505,5.0292,36.429,18.349,8.144,0.20131,10.593,0.25404,97.336,1.39E+05
26.867,59.376,3.5044,5.0285,36.429,18.35,8.1433,0.20126,10.592,0.254,97.337,1.40E+05
26.868,59.379,3.5038,5.0277,36.429,18.351,8.1426,0.20121,10.591,0.25395,97.337,1.40E+05
26.868,59.382,3.5033,5.027,36.429,18.352,8.1418,0.20116,10.591,0.25391,97.338,1.40E+05
26.868,59.385,3.5027,5.0263,36.429,18.353,8.1411,0.20112,10.59,0.25386,97.338,1.40E+05
26.868,59.388,3.5021,5.0256,36.429,18.354,8.1404,0.20107,10.589,0.25381,97.338,1.40E+05
26.869,59.391,3.5015,5.0248,36.429,18.355,8.1397,0.20102,10.588,0.25377,97.339,1.41E+05
26.869,59.394,3.5009,5.0241,36.428,18.356,8.1389,0.20097,10.587,0.25372,97.339,1.41E+05
26.869,59.397,3.5003,5.0234,36.428,18.357,8.1382,0.20092,10.586,0.25368,97.34,1.41E+05
26.87,59.399,3.4998,5.0227,36.428,18.358,8.1375,0.20087,10.585,0.25363,97.34,1.41E+05
26.87,59.402,3.4992,5.0219,36.428,18.358,8.1367,0.20082,10.584,0.25359,97.34,1.42E+05
26.87,59.405,3.4986,5.0212,36.428,18.359,8.136,0.20078,10.583,0.25355,97.341,1.42E+05
26.87,59.408,3.498,5.0205,36.428,18.36,8.1353,0.20073,10.582,0.2535,97.341,1.42E+05
26.871,59.411,3.4974,5.0198,36.428,18.361,8.1346,0.20068,10.581,0.25346,97.342,1.42E+05
26.871,59.414,3.4969,5.0191,36.427,18.362,8.1339,0.20063,10.58,0.25341,97.342,1.43E+05
26.871,59.416,3.4963,5.0184,36.427,18.363,8.1331,0.20059,10.579,0.25337,97.342,1.43E+05
26.871,59.419,3.4957,5.0177,36.427,18.364,8.1324,0.20054,10.578,0.25333,97.343,1.43E+05
26.872,59.422,3.4951,5.017,36.427,18.365,8.1317,0.20049,10.577,0.25328,97.343,1.43E+05
26.872,59.425,3.4946,5.0162,36.427,18.366,8.131,0.20045,10.576,0.25324,97.344,1.43E+05
26.872,59.427,3.494,5.0155,36.427,18.367,8.1303,0.2004,10.576,0.2532,97.344,1.44E+05
26.872,59.43,3.4934,5.0148,36.427,18.368,8.1296,0.20036,10.575,0.25316,97.344,1.44E+05
26.873,59.433,3.4929,5.0141,36.426,18.368,8.1289,0.20031,10.574,0.25311,97.345,1.44E+05
26.873,59.436,3.4923,5.0134,36.426,18.369,8.1281,0.20026,10.573,0.25307,97.345,1.44E+05
26.873,59.438,3.4917,5.0127,36.426,18.37,8.1274,0.20022,10.572,0.25303,97.345,1.44E+05
26.873,59.441,3.4912,5.012,36.426,18.371,8.1267,0.20017,10.571,0.25299,97.346,1.44E+05
26.874,59.444,3.4906,5.0113,36.426,18.372,8.126,0.20013,10.57,0.25295,97.346,1.45E+05
26.874,59.446,3.4901,5.0107,36.426,18.373,8.1253,0.20008,10.569,0.2529,97.347,1.45E+05
26.874,59.449,3.4895,5.01,36.425,18.374,8.1246,0.20004,10.568,0.25286,97.347,1.45E+05
26.874,59.452,3.4889,5.0093,36.425,18.375,8.1239,0.19999,10.567,0.25282,97.347,1.45E+05
26.875,59.454,3.4884,5.0086,36.425,18.375,8.1232,0.19995,10.566,0.25278,97.348,1.45E+05
26.875,59.457,3.4878,5.0079,36.425,18.376,8.1225,0.19991,10.565,0.25274,97.348,1.45E+05
26.875,59.459,3.4873,5.0072,36.425,18.377,8.1218,0.19986,10.565,0.2527,97.348,1.46E+05
26.875,59.462,3.4867,5.0065,36.425,18.378,8.1211,0.19982,10.564,0.25266,97.349,1.46E+05
26.876,59.465,3.4862,5.0058,36.425,18.379,8.1204,0.19978,10.563,0.25262,97.349,1.46E+05
26.876,59.467,3.4856,5.0052,36.424,18.38,8.1197,0.19973,10.562,0.25258,97.349,1.46E+05
26.876,59.47,3.4851,5.0045,36.424,18.381,8.119,0.19969,10.561,0.25254,97.35,1.46E+05
26.876,59.472,3.4845,5.0038,36.424,18.381,8.1183,0.19965,10.56,0.2525,97.35,1.46E+05
26.876,59.475,3.484,5.0031,36.424,18.382,8.1176,0.1996,10.559,0.25246,97.35,1.47E+05
26.877,59.477,3.4834,5.0025,36.424,18.383,8.1169,0.19956,10.558,0.25242,97.351,1.47E+05
26.877,59.48,3.4829,5.0018,36.424,18.384,8.1162,0.19952,10.557,0.25239,97.351,1.47E+05
26.877,59.482,3.4823,5.0011,36.423,18.385,8.1155,0.19948,10.556,0.25235,97.351,1.47E+05
26.877,59.485,3.4818,5.0004,36.423,18.385,8.1148,0.19944,10.555,0.25231,97.352,1.47E+05
26.878,59.487,3.4812,4.9998,36.423,18.386,8.1141,0.19939,10.555,0.25227,97.352,1.48E+05
26.878,59.49,3.4807,4.9991,36.423,18.387,8.1134,0.19935,10.554,0.25223,97.352,1.48E+05
26.878,59.492,3.4801,4.9984,36.423,18.388,8.1128,0.19931,10.553,0.2522,97.353,1.48E+05
26.878,59.495,3.4796,4.9978,36.423,18.389,8.1121,0.19927,10.552,0.25216,97.353,1.48E+05
26.878,59.497,3.4791,4.9971,36.422,18.39,8.1114,0.19923,10.551,0.25212,97.353,1.49E+05
26.879,59.5,3.4785,4.9965,36.422,18.39,8.1107,0.19919,10.55,0.25208,97.354,1.49E+05
26.879,59.502,3.478,4.9958,36.422,18.391,8.11,0.19915,10.549,0.25205,97.354,1.49E+05
26.879,59.504,3.4775,4.9951,36.422,18.392,8.1093,0.19911,10.548,0.25201,97.354,1.49E+05
26.879,59.507,3.4769,4.9945,36.422,18.393,8.1087,0.19907,10.547,0.25197,97.354,1.50E+05
26.879,59.509,3.4764,4.9938,36.422,18.394,8.108,0.19903,10.547,0.25194,97.355,1.50E+05
26.88,59.512,3.4759,4.9932,36.421,18.394,8.1073,0.19899,10.546,0.2519,97.355,1.50E+05
26.88,59.514,3.4753,4.9925,36.421,18.395,8.1066,0.19895,10.545,0.25186,97.355,1.50E+05
26.88,59.516,3.4748,4.9919,36.421,18.396,8.1059,0.19891,10.544,0.25183,97.356,1.50E+05
26.88,59.519,3.4743,4.9912,36.421,18.397,8.1053,0.19887,10.543,0.25179,97.356,1.51E+05
26.881,59.521,3.4737,4.9906,36.421,18.397,8.1046,0.19883,10.542,0.25176,97.356,1.51E+05
26.881,59.523,3.4732,4.9899,36.421,18.398,8.1039,0.19879,10.541,0.25172,97.356,1.51E+05
26.881,59.526,3.4727,4.9893,36.42,18.399,8.1032,0.19876,10.54,0.25169,97.357,1.51E+05
26.881,59.528,3.4722,4.9887,36.42,18.4,8.1026,0.19872,10.539,0.25165,97.357,1.51E+05
26.881,59.53,3.4716,4.988,36.42,18.4,8.1019,0.19868,10.539,0.25162,97.357,1.51E+05
26.881,59.532,3.4711,4.9874,36.42,18.401,8.1012,0.19864,10.538,0.25158,97.358,1.52E+05
26.882,59.535,3.4706,4.9867,36.42,18.402,8.1006,0.1986,10.537,0.25155,97.358,1.52E+05
26.882,59.537,3.4701,4.9861,36.42,18.403,8.0999,0.19857,10.536,0.25152,97.358,1.52E+05
26.882,59.539,3.4696,4.9855,36.419,18.403,8.0992,0.19853,10.535,0.25148,97.358,1.52E+05
26.882,59.541,3.469,4.9848,36.419,18.404,8.0986,0.19849,10.534,0.25145,97.359,1.52E+05
26.882,59.544,3.4685,4.9842,36.419,18.405,8.0979,0.19846,10.533,0.25141,97.359,1.52E+05
26.883,59.546,3.468,4.9836,36.419,18.406,8.0972,0.19842,10.533,0.25138,97.359,1.53E+05
26.883,59.548,3.4675,4.983,36.419,18.406,8.0966,0.19838,10.532,0.25135,97.359,1.53E+05
26.883,59.55,3.467,4.9823,36.418,18.407,8.0959,0.19835,10.531,0.25132,97.36,1.53E+05
26.883,59.552,3.4665,4.9817,36.418,18.408,8.0953,0.19831,10.53,0.25128,97.36,1.53E+05
26.883,59.554,3.466,4.9811,36.418,18.409,8.0946,0.19827,10.529,0.25125,97.36,1.53E+05
26.883,59.557,3.4654,4.9805,36.418,18.409,8.0939,0.19824,10.528,0.25122,97.36,1.53E+05
26.884,59.559,3.4649,4.9798,36.418,18.41,8.0933,0.1982,10.527,0.25119,97.361,1.54E+05
26.884,59.561,3.4644,4.9792,36.418,18.411,8.0926,0.19817,10.526,0.25115,97.361,1.54E+05
26.884,59.563,3.4639,4.9786,36.417,18.411,8.092,0.19813,10.526,0.25112,97.361,1.54E+05
26.884,59.565,3.4634,4.978,36.417,18.412,8.0913,0.1981,10.525,0.25109,97.361,1.54E+05
26.884,59.567,3.4629,4.9774,36.417,18.413,8.0907,0.19806,10.524,0.25106,97.362,1.54E+05
26.884,59.569,3.4624,4.9768,36.417,18.414,8.09,0.19803,10.523,0.25103,97.362,1.55E+05
26.885,59.571,3.4619,4.9762,36.417,18.414,8.0894,0.19799,10.522,0.251,97.362,1.55E+05
26.885,59.573,3.4614,4.9756,36.416,18.415,8.0887,0.19796,10.521,0.25097,97.362,1.55E+05
26.885,59.575,3.4609,4.975,36.416,18.416,8.0881,0.19792,10.52,0.25094,97.363,1.56E+05
26.885,59.577,3.4604,4.9743,36.416,18.416,8.0874,0.19789,10.52,0.25091,97.363,1.56E+05
26.885,59.579,3.4599,4.9737,36.416,18.417,8.0868,0.19786,10.519,0.25088,97.363,1.56E+05
26.885,59.582,3.4594,4.9731,36.416,18.418,8.0861,0.19782,10.518,0.25085,97.363,1.57E+05
26.886,59.584,3.4589,4.9725,36.416,18.418,8.0855,0.19779,10.517,0.25082,97.363,1.57E+05
26.886,59.586,3.4584,4.9719,36.415,18.419,8.0848,0.19776,10.516,0.25079,97.364,1.57E+05
26.886,59.587,3.4579,4.9713,36.415,18.42,8.0842,0.19772,10.515,0.25076,97.364,1.58E+05
26.886,59.589,3.4574,4.9708,36.415,18.42,8.0836,0.19769,10.515,0.25073,97.364,1.58E+05
26.886,59.591,3.457,4.9702,36.415,18.421,8.0829,0.19766,10.514,0.2507,97.364,1.58E+05
26.886,59.593,3.4565,4.9696,36.415,18.422,8.0823,0.19763,10.513,0.25067,97.364,1.59E+05
26.886,59.595,3.456,4.969,36.414,18.422,8.0816,0.1976,10.512,0.25064,97.365,1.59E+05
26.887,59.597,3.4555,4.9684,36.414,18.423,8.081,0.19756,10.511,0.25061,97.365,1.59E+05
26.887,59.599,3.455,4.9678,36.414,18.424,8.0804,0.19753,10.51,0.25059,97.365,1.60E+05
26.887,59.601,3.4545,4.9672,36.414,18.424,8.0797,0.1975,10.51,0.25056,97.365,1.60E+05
26.887,59.603,3.454,4.9666,36.414,18.425,8.0791,0.19747,10.509,0.25053,97.365,1.60E+05
26.887,59.605,3.4535,4.966,36.413,18.426,8.0785,0.19744,10.508,0.2505,97.366,1.61E+05
26.887,59.607,3.4531,4.9655,36.413,18.426,8.0778,0.19741,10.507,0.25048,97.366,1.61E+05
26.887,59.609,3.4526,4.9649,36.413,18.427,8.0772,0.19738,10.506,0.25045,97.366,1.61E+05
26.888,59.61,3.4521,4.9643,36.413,18.427,8.0766,0.19735,10.505,0.25042,97.366,1.62E+05
26.888,59.612,3.4516,4.9637,36.413,18.428,8.0759,0.19731,10.505,0.25039,97.366,1.62E+05
26.888,59.614,3.4512,4.9632,36.412,18.429,8.0753,0.19728,10.504,0.25037,97.367,1.62E+05
26.888,59.616,3.4507,4.9626,36.412,18.429,8.0747,0.19725,10.503,0.25034,97.367,1.63E+05
26.888,59.618,3.4502,4.962,36.412,18.43,8.0741,0.19722,10.502,0.25032,97.367,1.63E+05
26.888,59.619,3.4497,4.9614,36.412,18.431,8.0734,0.19719,10.501,0.25029,97.367,1.64E+05
26.888,59.621,3.4493,4.9609,36.412,18.431,8.0728,0.19717,10.5,0.25026,97.367,1.64E+05
26.888,59.623,3.4488,4.9603,36.411,18.432,8.0722,0.19714,10.5,0.25024,97.367,1.65E+05
26.888,59.625,3.4483,4.9597,36.411,18.432,8.0716,0.19711,10.499,0.25021,97.368,1.65E+05
26.889,59.626,3.4478,4.9592,36.411,18.433,8.0709,0.19708,10.498,0.25019,97.368,1.65E+05
26.889,59.628,3.4474,4.9586,36.411,18.434,8.0703,0.19705,10.497,0.25016,97.368,1.66E+05
26.889,59.63,3.4469,4.958,36.411,18.434,8.0697,0.19702,10.496,0.25014,97.368,1.66E+05
26.889,59.632,3.4464,4.9575,36.41,18.435,8.0691,0.19699,10.495,0.25011,97.368,1.67E+05
26.889,59.633,3.446,4.9569,36.41,18.435,8.0685,0.19696,10.495,0.25009,97.368,1.67E+05
26.889,59.635,3.4455,4.9564,36.41,18.436,8.0679,0.19694,10.494,0.25006,97.368,1.67E+05
26.889,59.637,3.445,4.9558,36.41,18.437,8.0672,0.19691,10.493,0.25004,97.369,1.68E+05
26.889,59.638,3.4446,4.9553,36.41,18.437,8.0666,0.19688,10.492,0.25002,97.369,1.68E+05
26.889,59.64,3.4441,4.9547,36.409,18.438,8.066,0.19685,10.491,0.24999,97.369,1.69E+05
26.89,59.642,3.4437,4.9542,36.409,18.438,8.0654,0.19683,10.491,0.24997,97.369,1.69E+05
26.89,59.643,3.4432,4.9536,36.409,18.439,8.0648,0.1968,10.49,0.24994,97.369,1.70E+05
26.89,59.645,3.4427,4.9531,36.409,18.439,8.0642,0.19677,10.489,0.24992,97.369,1.70E+05
26.89,59.647,3.4423,4.9525,36.408,18.44,8.0636,0.19674,10.488,0.2499,97.369,1.70E+05
26.89,59.648,3.4418,4.952,36.408,18.44,8.063,0.19672,10.487,0.24988,97.37,1.71E+05
26.89,59.65,3.4414,4.9514,36.408,18.441,8.0624,0.19669,10.487,0.24985,97.37,1.71E+05
26.89,59.651,3.4409,4.9509,36.408,18.442,8.0618,0.19667,10.486,0.24983,97.37,1.72E+05
26.89,59.653,3.4405,4.9504,36.408,18.442,8.0612,0.19664,10.485,0.24981,97.37,1.72E+05
26.89,59.654,3.44,4.9498,36.407,18.443,8.0606,0.19661,10.484,0.24979,97.37,1.72E+05
26.89,59.656,3.4396,4.9493,36.407,18.443,8.0599,0.19659,10.483,0.24976,97.37,1.73E+05
26.891,59.658,3.4391,4.9487,36.407,18.444,8.0593,0.19656,10.483,0.24974,97.37,1.73E+05
